Region,Codigo region,Comuna,Codigo comuna,Poblacion,Fecha,Casos activos
Del Libertador General Bernardo O’Higgins,6.0,Codegua,6102.0,14096.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Coinco,6103.0,7831.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Coltauco,6104.0,21263.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Donihue,6105.0,22700.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Graneros,6106.0,36504.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,La Estrella,6202.0,3114.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Las Cabras,6107.0,26749.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Litueche,6203.0,6765.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Lolol,6304.0,7289.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Machali,6108.0,59913.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Malloa,6109.0,14163.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Marchihue,6204.0,7632.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Mostazal,6110.0,27462.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Nancagua,6305.0,19141.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Navidad,6205.0,6904.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Olivar,6111.0,14624.0,2020-04-13,3.0
Del Libertador General Bernardo O’Higgins,6.0,Palmilla,6306.0,13299.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Paredones,6206.0,6349.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Peralillo,6307.0,11848.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Peumo,6112.0,14952.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Pichidegua,6113.0,20743.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Pichilemu,6201.0,17882.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Placilla,6308.0,9164.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Pumanque,6309.0,3531.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Quinta de Tilcoco,6114.0,13877.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Rancagua,6101.0,265211.0,2020-04-13,3.0
Del Libertador General Bernardo O’Higgins,6.0,Rengo,6115.0,63710.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,Requinoa,6116.0,30371.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,6.0,San Fernando,6301.0,78642.0,2020-04-13,1.0
Del Libertador General Bernardo O’Higgins,6.0,San Vicente,6117.0,50617.0,2020-04-13,1.0
Del Libertador General Bernardo O’Higgins,6.0,Santa Cruz,6310.0,41096.0,2020-04-13,1.0
Del Libertador General Bernardo O’Higgins,6.0,Desconocido O’Higgins,,,2020-04-13,
Del Libertador General Bernardo O’Higgins,6.0,Total,,991063.0,2020-04-13,9.0
Maule,7.0,Cauquenes,7201.0,44143.0,2020-04-13,2.0
Maule,7.0,Chanco,7202.0,9331.0,2020-04-13,0.0
Maule,7.0,Colbun,7402.0,22565.0,2020-04-13,2.0
Maule,7.0,Constitucion,7102.0,50348.0,2020-04-13,1.0
Maule,7.0,Curepto,7103.0,9426.0,2020-04-13,3.0
Maule,7.0,Curico,7301.0,163626.0,2020-04-13,8.0
Maule,7.0,Empedrado,7104.0,4206.0,2020-04-13,0.0
Maule,7.0,Hualane,7302.0,10222.0,2020-04-13,0.0
Maule,7.0,Licanten,7303.0,6989.0,2020-04-13,0.0
Maule,7.0,Linares,7401.0,101073.0,2020-04-13,5.0
Maule,7.0,Longavi,7403.0,32810.0,2020-04-13,0.0
Maule,7.0,Maule,7105.0,60000.0,2020-04-13,2.0
Maule,7.0,Molina,7304.0,49800.0,2020-04-13,0.0
Maule,7.0,Parral,7404.0,44544.0,2020-04-13,2.0
Maule,7.0,Pelarco,7106.0,9083.0,2020-04-13,3.0
Maule,7.0,Pelluhue,7203.0,8092.0,2020-04-13,0.0
Maule,7.0,Pencahue,7107.0,8601.0,2020-04-13,0.0
Maule,7.0,Rauco,7305.0,11248.0,2020-04-13,1.0
Maule,7.0,Retiro,7405.0,21071.0,2020-04-13,1.0
Maule,7.0,Rio Claro,7108.0,14753.0,2020-04-13,2.0
Maule,7.0,Romeral,7306.0,16170.0,2020-04-13,0.0
Maule,7.0,Sagrada Familia,7307.0,19469.0,2020-04-13,1.0
Maule,7.0,San Clemente,7109.0,46292.0,2020-04-13,0.0
Maule,7.0,San Javier,7406.0,49451.0,2020-04-13,6.0
Maule,7.0,San Rafael,7110.0,9959.0,2020-04-13,1.0
Maule,7.0,Talca,7101.0,236724.0,2020-04-13,7.0
Maule,7.0,Teno,7308.0,30850.0,2020-04-13,1.0
Maule,7.0,Vichuquen,7309.0,4381.0,2020-04-13,0.0
Maule,7.0,Villa Alegre,7407.0,17512.0,2020-04-13,0.0
Maule,7.0,Yerbas Buenas,7408.0,19200.0,2020-04-13,0.0
Maule,7.0,Desconocido Maule,,,2020-04-13,
Maule,7.0,Total,,1131939.0,2020-04-13,48.0
Nuble,16.0,Bulnes,16102.0,22607.0,2020-04-13,13.0
Nuble,16.0,Chillan,16101.0,198624.0,2020-04-13,79.0
Nuble,16.0,Chillan Viejo,16103.0,33827.0,2020-04-13,13.0
Nuble,16.0,Cobquecura,16202.0,5275.0,2020-04-13,0.0
Nuble,16.0,Coelemu,16203.0,16845.0,2020-04-13,2.0
Nuble,16.0,Coihueco,16302.0,28375.0,2020-04-13,6.0
Nuble,16.0,El Carmen,16104.0,12334.0,2020-04-13,1.0
Nuble,16.0,Ninhue,16204.0,5414.0,2020-04-13,2.0
Nuble,16.0,Niquen,16303.0,11567.0,2020-04-13,2.0
Nuble,16.0,Pemuco,16105.0,8639.0,2020-04-13,3.0
Nuble,16.0,Pinto,16106.0,11880.0,2020-04-13,5.0
Nuble,16.0,Portezuelo,16205.0,4940.0,2020-04-13,1.0
Nuble,16.0,Quillon,16107.0,18777.0,2020-04-13,5.0
Nuble,16.0,Quirihue,16201.0,12192.0,2020-04-13,2.0
Nuble,16.0,Ranquil,16206.0,6261.0,2020-04-13,5.0
Nuble,16.0,San Carlos,16301.0,56252.0,2020-04-13,12.0
Nuble,16.0,San Fabian,16304.0,4654.0,2020-04-13,1.0
Nuble,16.0,San Ignacio,16108.0,16624.0,2020-04-13,1.0
Nuble,16.0,San Nicolas,16305.0,12172.0,2020-04-13,5.0
Nuble,16.0,Treguaco,16207.0,5696.0,2020-04-13,0.0
Nuble,16.0,Yungay,16109.0,18596.0,2020-04-13,25.0
Nuble,16.0,Desconocido Nuble,,,2020-04-13,
Nuble,16.0,Total,,511551.0,2020-04-13,183.0
