Region,Codigo region,Comuna,Codigo comuna,Poblacion,Semana Epidemiologica,Casos confirmados
Metropolitana,13,La Granja,13111,122557.0,SE7,0.0
Metropolitana,13,La Pintana,13112,189335.0,SE7,0.0
Metropolitana,13,La Reina,13113,100252.0,SE7,0.0
Metropolitana,13,Lampa,13302,126898.0,SE7,0.0
Metropolitana,13,Las Condes,13114,330759.0,SE7,0.0
Metropolitana,13,Lo Barnechea,13115,124076.0,SE7,0.0
Metropolitana,13,Lo Espejo,13116,103865.0,SE7,0.0
Metropolitana,13,Lo Prado,13117,104403.0,SE7,0.0
Metropolitana,13,Macul,13118,134635.0,SE7,0.0
Metropolitana,13,Maipu,13119,578605.0,SE7,0.0
Metropolitana,13,Maria Pinto,13504,14926.0,SE7,0.0
Metropolitana,13,Melipilla,13501,141612.0,SE7,0.0
Metropolitana,13,Nunoa,13120,250192.0,SE7,0.0
Metropolitana,13,Padre Hurtado,13604,74188.0,SE7,0.0
Metropolitana,13,Paine,13404,82766.0,SE7,0.0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,SE7,0.0
Metropolitana,13,Penaflor,13605,101058.0,SE7,0.0
Metropolitana,13,Penalolen,13122,266798.0,SE7,0.0
Metropolitana,13,Pirque,13202,30433.0,SE7,0.0
Metropolitana,13,Providencia,13123,157749.0,SE7,0.0
Metropolitana,13,Pudahuel,13124,253139.0,SE7,0.0
Metropolitana,13,Puente Alto,13201,645909.0,SE7,0.0
Metropolitana,13,Quilicura,13125,254694.0,SE7,0.0
Metropolitana,13,Quinta Normal,13126,136368.0,SE7,0.0
Metropolitana,13,Recoleta,13127,190075.0,SE7,0.0
Metropolitana,13,Renca,13128,160847.0,SE7,0.0
Metropolitana,13,San Bernardo,13401,334836.0,SE7,0.0
Metropolitana,13,San Joaquin,13129,103485.0,SE7,0.0
Metropolitana,13,San Jose de Maipo,13203,18644.0,SE7,0.0
Metropolitana,13,San Miguel,13130,133059.0,SE7,0.0
Metropolitana,13,San Pedro,13505,11953.0,SE7,0.0
Metropolitana,13,San Ramon,13131,86510.0,SE7,0.0
Metropolitana,13,Santiago,13101,503147.0,SE7,0.0
Metropolitana,13,Talagante,13601,81838.0,SE7,0.0
Metropolitana,13,Tiltil,13303,21477.0,SE7,0.0
Metropolitana,13,Vitacura,13132,96774.0,SE7,0.0
Metropolitana,13,Desconocido Metropolitana,0,0.0,SE7,0.0
O’Higgins,6,Chepica,6302,15925.0,SE7,0.0
O’Higgins,6,Chimbarongo,6303,37696.0,SE7,0.0
O’Higgins,6,Codegua,6102,14096.0,SE7,0.0
O’Higgins,6,Coinco,6103,7831.0,SE7,0.0
O’Higgins,6,Coltauco,6104,21263.0,SE7,0.0
O’Higgins,6,Donihue,6105,22700.0,SE7,0.0
O’Higgins,6,Graneros,6106,36504.0,SE7,0.0
O’Higgins,6,La Estrella,6202,3114.0,SE7,0.0
O’Higgins,6,Las Cabras,6107,26749.0,SE7,0.0
O’Higgins,6,Litueche,6203,6765.0,SE7,0.0
O’Higgins,6,Lolol,6304,7289.0,SE7,0.0
O’Higgins,6,Machali,6108,59913.0,SE7,0.0
O’Higgins,6,Malloa,6109,14163.0,SE7,0.0
O’Higgins,6,Marchihue,6204,7632.0,SE7,0.0
O’Higgins,6,Mostazal,6110,27462.0,SE7,0.0
O’Higgins,6,Nancagua,6305,19141.0,SE7,0.0
O’Higgins,6,Navidad,6205,6904.0,SE7,0.0
O’Higgins,6,Olivar,6111,14624.0,SE7,0.0
O’Higgins,6,Palmilla,6306,13299.0,SE7,0.0
O’Higgins,6,Paredones,6206,6349.0,SE7,0.0
O’Higgins,6,Peralillo,6307,11848.0,SE7,0.0
O’Higgins,6,Peumo,6112,14952.0,SE7,0.0
O’Higgins,6,Pichidegua,6113,20743.0,SE7,0.0
O’Higgins,6,Pichilemu,6201,17882.0,SE7,0.0
O’Higgins,6,Placilla,6308,9164.0,SE7,0.0
O’Higgins,6,Pumanque,6309,3531.0,SE7,0.0
O’Higgins,6,Quinta de Tilcoco,6114,13877.0,SE7,0.0
O’Higgins,6,Rancagua,6101,265211.0,SE7,0.0
O’Higgins,6,Rengo,6115,63710.0,SE7,0.0
O’Higgins,6,Requinoa,6116,30371.0,SE7,0.0
O’Higgins,6,San Fernando,6301,78642.0,SE7,0.0
O’Higgins,6,San Vicente,6117,50617.0,SE7,0.0
O’Higgins,6,Santa Cruz,6310,41096.0,SE7,0.0
O’Higgins,6,Desconocido O'Higgins,0,0.0,SE7,0.0
Tarapacá,1,Alto Hospicio,1107,129999.0,SE7,0.0
Tarapacá,1,Camina,1402,1375.0,SE7,0.0
Tarapacá,1,Colchane,1403,1583.0,SE7,0.0
Tarapacá,1,Huara,1404,3000.0,SE7,0.0
Tarapacá,1,Iquique,1101,223463.0,SE7,0.0
Tarapacá,1,Pica,1405,5958.0,SE7,0.0
Tarapacá,1,Pozo Almonte,1401,17395.0,SE7,0.0
Tarapacá,1,Desconocido Tarapaca,0,0.0,SE7,0.0
Valparaíso,5,Algarrobo,5602,15174.0,SE7,0.0
Valparaíso,5,Cabildo,5402,20663.0,SE7,0.0
Valparaíso,5,Calera,5502,53591.0,SE7,0.0
Valparaíso,5,Calle Larga,5302,16482.0,SE7,0.0
Valparaíso,5,Cartagena,5603,25357.0,SE7,0.0
Valparaíso,5,Casablanca,5102,29170.0,SE7,0.0
Valparaíso,5,Catemu,5702,15213.0,SE7,0.0
Valparaíso,5,Concon,5103,45889.0,SE7,0.0
Valparaíso,5,El Quisco,5604,17742.0,SE7,0.0
Valparaíso,5,El Tabo,5605,14338.0,SE7,0.0
Valparaíso,5,Hijuelas,5503,19099.0,SE7,0.0
Valparaíso,5,Isla de Pascua,5201,8277.0,SE7,0.0
Valparaíso,5,Juan Fernandez,5104,1033.0,SE7,0.0
Valparaíso,5,La Cruz,5504,25321.0,SE7,0.0
Valparaíso,5,La Ligua,5401,37739.0,SE7,0.0
Valparaíso,5,Limache,5802,49931.0,SE7,0.0
Valparaíso,5,Llaillay,5703,26533.0,SE7,0.0
Valparaíso,5,Los Andes,5301,68093.0,SE7,0.0
Valparaíso,5,Nogales,5506,23490.0,SE7,0.0
Valparaíso,5,Olmue,5803,19266.0,SE7,0.0
Valparaíso,5,Panquehue,5704,7633.0,SE7,0.0
Valparaíso,5,Papudo,5403,6201.0,SE7,0.0
Valparaíso,5,Petorca,5404,10558.0,SE7,0.0
Valparaíso,5,Puchuncavi,5105,20071.0,SE7,0.0
Valparaíso,5,Putaendo,5705,17645.0,SE7,0.0
Valparaíso,5,Quillota,5501,97572.0,SE7,0.0
Valparaíso,5,Quilpue,5801,167085.0,SE7,0.0
Valparaíso,5,Quintero,5107,36135.0,SE7,0.0
Valparaíso,5,Rinconada,5303,11263.0,SE7,0.0
Valparaíso,5,San Antonio,5601,96761.0,SE7,0.0
Valparaíso,5,San Esteban,5304,20643.0,SE7,0.0
Valparaíso,5,San Felipe,5701,83494.0,SE7,0.0
Valparaíso,5,Santa Maria,5706,16367.0,SE7,0.0
Valparaíso,5,Santo Domingo,5606,11934.0,SE7,0.0
Valparaíso,5,Valparaiso,5101,315732.0,SE7,0.0
Valparaíso,5,Villa Alemana,5804,139310.0,SE7,0.0
Valparaíso,5,Vina del Mar,5109,361371.0,SE7,0.0
Valparaíso,5,Zapallar,5405,7994.0,SE7,0.0
Valparaíso,5,Desconocido Valparaiso,0,0.0,SE7,0.0
Ñuble,16,Bulnes,16102,22607.0,SE7,0.0
Ñuble,16,Chillan,16101,198624.0,SE7,0.0
Ñuble,16,Chillan Viejo,16103,33827.0,SE7,0.0
Ñuble,16,Cobquecura,16202,5275.0,SE7,0.0
Ñuble,16,Coelemu,16203,16845.0,SE7,0.0
Ñuble,16,Coihueco,16302,28375.0,SE7,0.0
Ñuble,16,El Carmen,16104,12334.0,SE7,0.0
Ñuble,16,Ninhue,16204,5414.0,SE7,0.0
Ñuble,16,Niquen,16303,11567.0,SE7,0.0
Ñuble,16,Pemuco,16105,8639.0,SE7,0.0
Ñuble,16,Pinto,16106,11880.0,SE7,0.0
Ñuble,16,Portezuelo,16205,4940.0,SE7,0.0
Ñuble,16,Quillon,16107,18777.0,SE7,0.0
Ñuble,16,Quirihue,16201,12192.0,SE7,0.0
Ñuble,16,Ranquil,16206,6261.0,SE7,0.0
