Region,Codigo region,Comuna,Codigo comuna,Poblacion,Fecha,Casos fallecidos
Maule,7.0,Villa Alegre,7407.0,17512.0,2020-06-12,0.0
Maule,7.0,Yerbas Buenas,7408.0,19200.0,2020-06-12,1.0
Maule,7.0,Desconocido Maule,,,2020-06-12,
Maule,7.0,Total,,1131939.0,2020-06-12,18.0
Nuble,16.0,Bulnes,16102.0,22607.0,2020-06-12,3.0
Nuble,16.0,Chillan,16101.0,198624.0,2020-06-12,6.0
Nuble,16.0,Chillan Viejo,16103.0,33827.0,2020-06-12,1.0
Nuble,16.0,Cobquecura,16202.0,5275.0,2020-06-12,0.0
Nuble,16.0,Coelemu,16203.0,16845.0,2020-06-12,0.0
Nuble,16.0,Coihueco,16302.0,28375.0,2020-06-12,3.0
Nuble,16.0,El Carmen,16104.0,12334.0,2020-06-12,0.0
Nuble,16.0,Ninhue,16204.0,5414.0,2020-06-12,0.0
Nuble,16.0,Niquen,16303.0,11567.0,2020-06-12,1.0
Nuble,16.0,Pemuco,16105.0,8639.0,2020-06-12,0.0
Nuble,16.0,Pinto,16106.0,11880.0,2020-06-12,0.0
Nuble,16.0,Portezuelo,16205.0,4940.0,2020-06-12,0.0
Nuble,16.0,Quillon,16107.0,18777.0,2020-06-12,2.0
Nuble,16.0,Quirihue,16201.0,12192.0,2020-06-12,0.0
Nuble,16.0,Ranquil,16206.0,6261.0,2020-06-12,0.0
Nuble,16.0,San Carlos,16301.0,56252.0,2020-06-12,2.0
Nuble,16.0,San Fabian,16304.0,4654.0,2020-06-12,0.0
Nuble,16.0,San Ignacio,16108.0,16624.0,2020-06-12,1.0
Nuble,16.0,San Nicolas,16305.0,12172.0,2020-06-12,1.0
Nuble,16.0,Treguaco,16207.0,5696.0,2020-06-12,0.0
Nuble,16.0,Yungay,16109.0,18596.0,2020-06-12,0.0
Nuble,16.0,Desconocido Nuble,,,2020-06-12,
Nuble,16.0,Total,,511551.0,2020-06-12,20.0
Biobio,8.0,Alto Biobio,8314.0,6775.0,2020-06-12,0.0
Biobio,8.0,Antuco,8302.0,4306.0,2020-06-12,0.0
Biobio,8.0,Arauco,8202.0,38679.0,2020-06-12,1.0
Biobio,8.0,Cabrero,8303.0,30725.0,2020-06-12,0.0
Biobio,8.0,Canete,8203.0,37003.0,2020-06-12,0.0
Biobio,8.0,Chiguayante,8103.0,91180.0,2020-06-12,2.0
Biobio,8.0,Concepcion,8101.0,238092.0,2020-06-12,4.0
Biobio,8.0,Contulmo,8204.0,6330.0,2020-06-12,0.0
Biobio,8.0,Coronel,8102.0,125829.0,2020-06-12,0.0
Biobio,8.0,Curanilahue,8205.0,33892.0,2020-06-12,0.0
Biobio,8.0,Florida,8104.0,11841.0,2020-06-12,0.0
Biobio,8.0,Hualpen,8112.0,97273.0,2020-06-12,2.0
Biobio,8.0,Hualqui,8105.0,26201.0,2020-06-12,0.0
Biobio,8.0,Laja,8304.0,23873.0,2020-06-12,0.0
Biobio,8.0,Lebu,8201.0,27100.0,2020-06-12,0.0
Biobio,8.0,Los Alamos,8206.0,22524.0,2020-06-12,0.0
Biobio,8.0,Los Angeles,8301.0,218515.0,2020-06-12,1.0
